source_id,title,file_name,page,layout_class,chosen_mode,column_count,block_count,line_count,avg_words_per_block,short_block_ratio,numeric_block_ratio,warning
pdf_11_solar_system,11 Solar System,11_Solar-System.pdf,1,unknown,plain_text_no_blocks,0,0,0,,,,no_text_blocks
pdf_11_solar_system,11 Solar System,11_Solar-System.pdf,2,unknown,plain_text_no_blocks,0,0,0,,,,no_text_blocks
pdf_11_solar_system,11 Solar System,11_Solar-System.pdf,3,unknown,plain_text_no_blocks,0,0,0,,,,no_text_blocks
pdf_11_solar_system,11 Solar System,11_Solar-System.pdf,4,unknown,plain_text_no_blocks,0,0,0,,,,no_text_blocks
pdf_11_solar_system,11 Solar System,11_Solar-System.pdf,5,unknown,plain_text_no_blocks,0,0,0,,,,no_text_blocks
pdf_11_solar_system,11 Solar System,11_Solar-System.pdf,6,unknown,plain_text_no_blocks,0,0,0,,,,no_text_blocks
pdf_11_solar_system,11 Solar System,11_Solar-System.pdf,7,unknown,plain_text_no_blocks,0,0,0,,,,no_text_blocks
pdf_11_solar_system,11 Solar System,11_Solar-System.pdf,8,unknown,plain_text_no_blocks,0,0,0,,,,no_text_blocks
pdf_11_solar_system,11 Solar System,11_Solar-System.pdf,9,unknown,plain_text_no_blocks,0,0,0,,,,no_text_blocks
pdf_11_solar_system,11 Solar System,11_Solar-System.pdf,10,unknown,plain_text_no_blocks,0,0,0,,,,no_text_blocks
pdf_2503_07081v2,2503.07081v2,2503.07081v2.pdf,1,mixed,plain_text,0,12,47,53.08,0.25,0.667,mixed_layout_plain_text_fallback
pdf_2503_07081v2,2503.07081v2,2503.07081v2.pdf,2,mixed,plain_text,0,4,52,227.75,0.5,1.0,mixed_layout_plain_text_fallback
pdf_2503_07081v2,2503.07081v2,2503.07081v2.pdf,3,narrative_single_column,row_order_lines,1,11,48,75.36,0.182,1.0,
pdf_2503_07081v2,2503.07081v2,2503.07081v2.pdf,4,mixed,plain_text,0,15,40,30.13,0.333,0.933,mixed_layout_plain_text_fallback
pdf_2503_07081v2,2503.07081v2,2503.07081v2.pdf,5,mixed,plain_text,0,8,538,135.62,0.125,0.5,mixed_layout_plain_text_fallback
pdf_2503_07081v2,2503.07081v2,2503.07081v2.pdf,6,mixed,plain_text,0,5,600,229.8,0.2,0.8,mixed_layout_plain_text_fallback
pdf_2503_07081v2,2503.07081v2,2503.07081v2.pdf,7,mixed,plain_text,0,7,50,126.57,0.571,1.0,mixed_layout_plain_text_fallback
pdf_2503_07081v2,2503.07081v2,2503.07081v2.pdf,8,mixed,plain_text,0,5,21,67.8,0.2,1.0,mixed_layout_plain_text_fallback
pdf_2503_07081v2,2503.07081v2,2503.07081v2.pdf,9,mixed,plain_text,0,5,22,81.8,0.2,1.0,mixed_layout_plain_text_fallback
pdf_2503_07081v2,2503.07081v2,2503.07081v2.pdf,10,mixed,plain_text,0,5,17,61.8,0.2,1.0,mixed_layout_plain_text_fallback
pdf_2503_07081v2,2503.07081v2,2503.07081v2.pdf,11,narrative_single_column,row_order_lines,1,7,51,136.0,0.286,1.0,
pdf_2503_07081v2,2503.07081v2,2503.07081v2.pdf,12,mixed,plain_text,0,5,17,54.0,0.4,1.0,mixed_layout_plain_text_fallback
